集計年,集計月,都道府県コード,都道府県名,表示内容コード,表示内容名,表示分類コード,表示分類名,施設数（施設）,延べ宿泊者数（総数：人泊）,延べ宿泊者数（日本人：人泊）,延べ宿泊者数（外国人：人泊）,定員稼働率（％）,客室稼働率（％）,延べ宿泊者数（総数）前年同月比,延べ宿泊者数（日本人）前年同月比,延べ宿泊者数（外国人）前年同月比
2018,1,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,840,249600,245230,4370,20.9,33.9,0.0213,0.0243,-0.1207
2018,1,18,福井県,1,従業者規模別で表示する,101,0～9人,717,50160,-,-,8.4,14.6,0.0589,-,-
2018,1,18,福井県,1,従業者規模別で表示する,102,10～29人,67,55030,-,-,29.3,45.2,0.0432,-,-
2018,1,18,福井県,1,従業者規模別で表示する,103,30～99人,50,104640,-,-,34.4,52.8,-0.0612,-,-
2018,1,18,福井県,1,従業者規模別で表示する,104,100人以上,6,39760,-,-,38.1,52.2,0.2118,-,-
2018,1,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,840,249600,245230,4370,20.9,33.9,0.0213,0.0243,-0.1207
2018,1,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,500,119260,117780,1480,15,20.9,-0.0619,-0.062,-0.0573
2018,1,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,10,16830,16010,820,29.5,44.4,-0.055,-0.0425,-0.2477
2018,1,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,70,93080,91770,1310,50.6,56.6,0.1727,0.1794,-0.1603
2018,1,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,11870,11330,540,31,44.3,0.0791,0.0905,-0.1148
2018,1,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,10,1400,1400,0,19.1,9.1,-0.6752,-0.6752,-
2018,1,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,240,7160,6940,220,6.5,13.1,0.501,0.4957,0.6923
